team,overall_elo,offensive_elo,defensive_elo,home_elo,away_elo
Eswatini,1396.390729,1371.950741,1459.919659,1385.048505,1487.259975
Ethiopia,1419.874072,1427.050408,1470.05041,1477.383343,1438.943827
Madagascar,1486.579672,1475.502645,1509.139177,1484.43381,1439.713757
Mayotte,1510.947799,1476.127835,1580.740861,1500,1486.451267
Saint Lucia,1406.689285,1352.801899,1402.936394,1391.899354,1526.320607
Antigua and Barbuda,1344.160063,1352.035776,1315.290907,1396.4179,1479.585677
Comoros,1478.721079,1478.361266,1523.633939,1540.331602,1472.40226
San Marino,1065.951488,1091.411951,524.8274998,1197.184664,1381.577844
Peru,1591.769651,1511.945249,1734.188166,1529.343501,1436.384887
Nicaragua,1483.634045,1519.867037,1583.731399,1486.387417,1578.698976
Guinea-Bissau,1415.377544,1385.733768,1528.536018,1493.480897,1496.071455
Mauritius,1325.493077,1322.93521,1443.158073,1428.433724,1410.815352
Central African Republic,1447.851647,1477.969478,1378.085064,1553.057993,1412.872918
India,1399.937889,1363.98561,1534.380085,1463.203838,1461.834647
Burundi,1446.646021,1457.50291,1491.792379,1461.424717,1480.301355
Sierra Leone,1489.756058,1427.176959,1499.360645,1565.146947,1378.29189
Liberia,1402.60022,1373.803473,1476.36245,1504.157807,1410.327619
Belize,1431.780411,1404.235221,1436.294641,1446.464017,1507.157405
Saint Vincent and the Grenadines,1456.722189,1503.863212,1388.745431,1426.851473,1489.863135
French Guiana,1484.609783,1521.785459,1526.155362,1454.271852,1503.21564
Suriname,1533.390767,1551.608017,1611.003625,1521.788867,1514.805864
Iraq,1666.204763,1566.107897,1712.957059,1471.040829,1645.291877
British Virgin Islands,1319.641122,1297.600037,1096.856606,1449.472995,1463.607332
Réunion,1573.668361,1574.237454,1603.971866,1517.215208,1500.866258
Saint Pierre and Miquelon,1436.061631,1444.987941,1001.776563,1500,1500
Tahiti,1519.536274,1614.31944,1556.126729,1493.471435,1471.945296
New Caledonia,1548.009235,1713.904748,1636.033891,1499.684084,1538.108627
Barbados,1360.355623,1402.213893,1284.322096,1407.45044,1483.630708
Dominica,1379.371965,1312.476993,1377.702987,1416.419907,1469.25821
Guyana,1500.735945,1593.124983,1420.846637,1506.270605,1506.294522
Cayman Islands,1367.743381,1284.118969,1305.893309,1433.508621,1442.230883
Puerto Rico,1445.995596,1553.243821,1440.850964,1460.216646,1505.126897
Montserrat,1415.377737,1411.334552,1385.411819,1495.704323,1504.572476
Maldives,1311.425593,1314.339934,1282.455116,1431.211552,1415.910453
Philippines,1428.183907,1436.165904,1454.443487,1461.421169,1415.503538
Macau,1278.478424,1224.708218,1293.459314,1405.064279,1403.308815
Curaçao,1480.507461,1535.612553,1573.192856,1516.697537,1505.290941
Dominican Republic,1502.134585,1591.321814,1578.394524,1502.626514,1476.360843
Timor-Leste,1260.417105,1228.294795,1026.53074,1457.146639,1341.964119
Laos,1239.642856,1285.835341,1141.477625,1387.667946,1393.789136
Cambodia,1278.718332,1355.680536,1252.606786,1472.546105,1369.16472
Cuba,1455.317054,1427.954084,1425.681367,1497.353119,1430.801402
Bonaire,1389.957799,1370.125613,1308.55377,1460.07322,1502.177337
Afghanistan,1415.881606,1315.931162,1412.566504,1505.880699,1361.780576
Taiwan,1320.858743,1398.812587,1221.259343,1435.431986,1459.669148
Somalia,1309.939863,1315.442542,1305.728463,1500,1467.238975
Zanzibar,1531.658473,1523.053859,1540.259667,1512.832717,1497.624274
Catalonia,1510.493638,1535.697646,1534.828828,1507.450683,1503.042955
Basque Country,1558.280534,1589.59318,1548.755089,1528.981404,1529.299131
Vanuatu,1434.82459,1434.82459,1434.93549,1494.725849,1492.551243
Mongolia,1314.832724,1290.584488,1292.188951,1497.05805,1413.092517
Gibraltar,1190.349692,1155.511133,985.8481728,1363.930513,1370.869391
Nepal,1340.69284,1215.796666,1370.939731,1447.221557,1442.130679
Bhutan,1236.201897,1216.229528,920.525132,1462.962113,1423.523092
Pakistan,1301.295965,1223.168942,1298.90827,1479.734807,1403.351955
Vatican City,1455.180531,1444.747967,1439.625003,1482.271397,1493.074031
Romani people,1471.732344,1506.704912,1402.453608,1500,1505.99214
United States Virgin Islands,1293.657261,1236.638517,1202.270568,1339.239353,1468.036147
Rhodes,1500.08746,1492.937356,1499.880388,1500,1500
Greenland,1523.24616,1567.418195,1497.607479,1500,1497.614735
Menorca,1506.480599,1534.335655,1534.826101,1500,1500
Isle of Wight,1563.629646,1565.639482,1566.411894,1536.34086,1514.248116
Ynys Môn,1578.201699,1592.026313,1532.48405,1546.077749,1486.3862
Gotland,1439.840454,1592.770682,1447.857018,1494.544717,1500
Isle of Man,1604.630989,1866.19583,1558.625052,1500,1523.374125
Falkland Islands,1408.677249,1426.274324,1266.049418,1500,1493.164839
Åland Islands,1478.947877,1446.359761,1489.93415,1500,1495.471917
Saare County,1484.447197,1513.483072,1460.38017,1500,1500
Western Isles,1462.199898,1435.498925,1407.801072,1500,1477.135108
Turks and Caicos Islands,1356.491326,1296.629483,1079.910015,1412.255979,1452.918533
Bahamas,1333.554085,1362.700644,1180.262151,1428.043882,1450.876722
Solomon Islands,1496.23376,,,1451.058236,1495.273175
Fiji,1492.693894,1588.898542,1549.33982,1498.90705,1464.540213
Seychelles,1225.781922,1219.966469,1041.126065,1457.155463,1450.007794
Samoa,1429.395106,1435.348633,1197.552518,1505.57179,1481.819309
Eritrea,1396.700718,1420.823468,1421.049874,1460.736161,1481.061553
Lesotho,1393.976133,1318.082944,1486.838286,1426.417765,1456.231348
Tuvalu,1411.66303,1437.838179,976.7802953,1500,1486.035173
Papua New Guinea,1478.198567,1548.227877,1490.210575,1471.825588,1486.6917
Cook Islands,1422.658701,1363.026421,1349.56203,1500,1504.263912
American Samoa,1390.595081,1337.521965,1021.143568,1500,1484.279427
Kiribati,1461.334698,1469.117659,1191.875633,1500,1500
Bermuda,1435.963756,1558.655347,1357.251321,1498.361718,1487.786516
Djibouti,1313.8046,1338.526465,1154.901267,1467.454618,1467.723048
